classifier,split,repeat,fold,panel,panel_label,panel_size,balanced_accuracy,macro_f1,accuracy,fit_seconds
RF,0,0,0,EMPTY,Baseline,0,0.2,0.1293532338308458,0.47794117647058826,0.0
RF,0,0,0,mutations,Mutations,1,0.35995684539864065,0.3108652482269504,0.5808823529411765,7.42043924331665
RF,0,0,0,cnv,CNV,1,0.4204693062897832,0.47157935856869404,0.6029411764705882,4.193605899810791
RF,0,0,0,mrna,mRNA,1,0.578975078217715,0.5873222667625998,0.7720588235294118,5.078877925872803
RF,0,0,0,rppa,RPPA,1,0.5240479016075089,0.533702302112898,0.7132352941176471,3.9930033683776855
RF,0,0,0,mutations+cnv,Mutations+CNV,2,0.42535872262379976,0.4247876230661041,0.625,5.089310169219971
RF,0,0,0,mutations+mrna,Mutations+mRNA,2,0.5596202395080375,0.5688167612570942,0.75,5.504466533660889
RF,0,0,0,mutations+rppa,Mutations+RPPA,2,0.48990398101197535,0.5002173444628688,0.6985294117647058,3.562317371368408
RF,0,0,0,cnv+mrna,CNV+mRNA,2,0.693229043046715,0.7410501860698913,0.7941176470588235,2.545649766921997
RF,0,0,0,cnv+rppa,CNV+RPPA,2,0.5619775596072931,0.6115658585535405,0.7132352941176471,2.5348246097564697
RF,0,0,0,mrna+rppa,mRNA+RPPA,2,0.5560081993742583,0.5652818532818532,0.7573529411764706,2.7099032402038574
RF,0,0,0,mutations+cnv+mrna,Mutations+CNV+mRNA,3,0.6180181249325709,0.6672774881405289,0.7720588235294118,4.885932922363281
RF,0,0,0,mutations+cnv+rppa,Mutations+CNV+RPPA,3,0.5239238321286006,0.5616145945557711,0.6838235294117647,2.7984488010406494
RF,0,0,0,mutations+mrna+rppa,Mutations+mRNA+RPPA,3,0.5215060955874421,0.5292315249762058,0.7205882352941176,2.880366086959839
RF,0,0,0,cnv+mrna+rppa,CNV+mRNA+RPPA,3,0.6149412018556479,0.6639939734282975,0.7647058823529411,2.847158670425415
RF,0,0,0,mutations+cnv+mrna+rppa,Mutations+CNV+mRNA+RPPA,4,0.5366533606645809,0.5559717717892411,0.7352941176470589,4.890631914138794
XGB,0,0,0,EMPTY,Baseline,0,0.2,0.1293532338308458,0.47794117647058826,0.0
XGB,0,0,0,mutations,Mutations,1,0.38555291832991695,0.41300383996036166,0.5514705882352942,7.078043222427368
XGB,0,0,0,cnv,CNV,1,0.513773869888877,0.5519208981357504,0.6544117647058824,9.875831127166748
XGB,0,0,0,mrna,mRNA,1,0.7137145323120078,0.7147614331090543,0.7867647058823529,4.614499568939209
XGB,0,0,0,rppa,RPPA,1,0.6032290430467149,0.6107904817828482,0.6911764705882353,9.113765239715576
XGB,0,0,0,mutations+cnv,Mutations+CNV,2,0.5345398640630058,0.5614090861697993,0.6691176470588235,15.707329750061035
XGB,0,0,0,mutations+mrna,Mutations+mRNA,2,0.7198683784658539,0.7479447954650811,0.8014705882352942,12.820254802703857
XGB,0,0,0,mutations+rppa,Mutations+RPPA,2,0.5856003883914123,0.5893348098929494,0.6838235294117647,13.671549558639526
XGB,0,0,0,cnv+mrna,CNV+mRNA,2,0.7448419462725212,0.7784108808917969,0.8235294117647058,9.893284559249878
XGB,0,0,0,cnv+rppa,CNV+RPPA,2,0.6225838817563922,0.635076017428386,0.7426470588235294,14.059211492538452
XGB,0,0,0,mrna+rppa,mRNA+RPPA,2,0.7162563383320746,0.748045956657391,0.8088235294117647,12.60521674156189
XGB,0,0,0,mutations+cnv+mrna,Mutations+CNV+mRNA,3,0.7353134102923724,0.7690082394280867,0.8088235294117647,17.227400541305542
XGB,0,0,0,mutations+cnv+rppa,Mutations+CNV+RPPA,3,0.588975078217715,0.5982191818642788,0.7132352941176471,28.226421117782593
XGB,0,0,0,mutations+mrna+rppa,Mutations+mRNA+RPPA,3,0.7131794152551516,0.7450608820305253,0.8014705882352942,16.95476269721985
XGB,0,0,0,cnv+mrna+rppa,CNV+mRNA+RPPA,3,0.7162563383320746,0.7520747018204645,0.8088235294117647,16.458893537521362
