classifier,repeat,panel,panel_label,panel_size,panel_score,best_constituent_single,best_constituent_single_score,integration_gain,gain_positive
XGB,7,mutations+rppa,Mutations+RPPA,2,0.5995254387384472,rppa,0.5948912638903873,0.0046341748480599465,True
XGB,7,cnv+mrna,CNV+mRNA,2,0.7591774463264647,mrna,0.7590089186176143,0.00016852770885034118,True
XGB,7,cnv+rppa,CNV+RPPA,2,0.6347899135109865,rppa,0.5948912638903873,0.03989864962059919,True
XGB,7,mrna+rppa,mRNA+RPPA,2,0.7344360277987556,mrna,0.7590089186176143,-0.024572890818858717,False
XGB,7,mutations+cnv+mrna,Mutations+CNV+mRNA,3,0.7578260195274572,mrna,0.7590089186176143,-0.001182899090157119,False
XGB,7,mutations+cnv+rppa,Mutations+CNV+RPPA,3,0.6518665264142123,rppa,0.5948912638903873,0.05697526252382501,True
XGB,7,mutations+mrna+rppa,Mutations+mRNA+RPPA,3,0.7072875579889957,mrna,0.7590089186176143,-0.05172136062861865,False
XGB,7,cnv+mrna+rppa,CNV+mRNA+RPPA,3,0.7348452502966879,mrna,0.7590089186176143,-0.024163668320926424,False
XGB,7,mutations+cnv+mrna+rppa,Mutations+CNV+mRNA+RPPA,4,0.7494937201064481,mrna,0.7590089186176143,-0.009515198511166223,False
XGB,8,mutations+cnv,Mutations+CNV,2,0.536311706584673,cnv,0.5252977128061279,0.011013993778545061,True
XGB,8,mutations+mrna,Mutations+mRNA,2,0.6985309679217464,mrna,0.7349441192865106,-0.036413151364764196,False
XGB,8,mutations+rppa,Mutations+RPPA,2,0.5909016929190491,rppa,0.6099990604883663,-0.019097367569317125,False
XGB,8,cnv+mrna,CNV+mRNA,2,0.7514189952170318,mrna,0.7349441192865106,0.016474875930521216,True
XGB,8,cnv+rppa,CNV+RPPA,2,0.6517833998633438,rppa,0.6099990604883663,0.0417843393749775,True
XGB,8,mrna+rppa,mRNA+RPPA,2,0.7366947261480922,mrna,0.7349441192865106,0.0017506068615815717,True
XGB,8,mutations+cnv+mrna,Mutations+CNV+mRNA,3,0.7307225383896141,mrna,0.7349441192865106,-0.004221580896896504,False
XGB,8,mutations+cnv+rppa,Mutations+CNV+RPPA,3,0.6302814893731794,rppa,0.6099990604883663,0.02028242888481313,True
XGB,8,mutations+mrna+rppa,Mutations+mRNA+RPPA,3,0.7193921000107887,mrna,0.7349441192865106,-0.015552019275721918,False
XGB,8,cnv+mrna+rppa,CNV+mRNA+RPPA,3,0.7504081256518143,mrna,0.7349441192865106,0.01546400636530365,True
XGB,8,mutations+cnv+mrna+rppa,Mutations+CNV+mRNA+RPPA,4,0.7574466770956954,mrna,0.7349441192865106,0.022502557809184753,True
XGB,9,mutations+cnv,Mutations+CNV,2,0.5231555318804617,cnv,0.5221598608264106,0.0009956710540510727,True
XGB,9,mutations+mrna,Mutations+mRNA,2,0.7124423211781206,mrna,0.7413477182004531,-0.028905397022332524,False
XGB,9,mutations+rppa,Mutations+RPPA,2,0.5811387150717445,rppa,0.5865756464199662,-0.005436931348221652,False
XGB,9,cnv+mrna,CNV+mRNA,2,0.7592977802351926,mrna,0.7413477182004531,0.017950062034739478,True
XGB,9,cnv+rppa,CNV+RPPA,2,0.6663225311971805,rppa,0.5865756464199662,0.07974688477721437,True
XGB,9,mrna+rppa,mRNA+RPPA,2,0.7298509233286583,mrna,0.7413477182004531,-0.01149679487179478,False
XGB,9,mutations+cnv+mrna,Mutations+CNV+mRNA,3,0.7295045627000396,mrna,0.7413477182004531,-0.011843155500413483,False
XGB,9,mutations+cnv+rppa,Mutations+CNV+RPPA,3,0.6522231722228216,rppa,0.5865756464199662,0.06564752580285538,True
XGB,9,mutations+mrna+rppa,Mutations+mRNA+RPPA,3,0.7142670730391628,mrna,0.7413477182004531,-0.027080645161290273,False
XGB,9,cnv+mrna+rppa,CNV+mRNA+RPPA,3,0.7533763575718344,mrna,0.7413477182004531,0.012028639371381322,True
XGB,9,mutations+cnv+mrna+rppa,Mutations+CNV+mRNA+RPPA,4,0.7474345668356889,mrna,0.7413477182004531,0.0060868486352357865,True
SVM,0,mutations+cnv,Mutations+CNV,2,0.6362619214586255,cnv,0.6356465368432409,0.0006153846153845732,True
SVM,0,mutations+mrna,Mutations+mRNA,2,0.8165659006724926,mrna,0.8266158386377531,-0.010049937965260547,False
SVM,0,mutations+rppa,Mutations+RPPA,2,0.6652224215125688,rppa,0.65256814830798,0.012654273204588784,True
SVM,0,cnv+mrna,CNV+mRNA,2,0.8096949329305569,mrna,0.8266158386377531,-0.016920905707196177,False
SVM,0,cnv+rppa,CNV+RPPA,2,0.6524116049915489,rppa,0.65256814830798,-0.00015654331643111252,False
SVM,0,mrna+rppa,mRNA+RPPA,2,0.8228580842953214,mrna,0.8266158386377531,-0.0037577543424317517,False
SVM,0,mutations+cnv+mrna,Mutations+CNV+mRNA,3,0.8109257021613262,mrna,0.8266158386377531,-0.01569013647642692,False
SVM,0,mutations+cnv+rppa,Mutations+CNV+RPPA,3,0.6530269896069335,rppa,0.65256814830798,0.0004588412989534607,True
SVM,0,mutations+mrna+rppa,Mutations+mRNA+RPPA,3,0.8228580842953214,mrna,0.8266158386377531,-0.0037577543424317517,False
SVM,0,cnv+mrna+rppa,CNV+mRNA+RPPA,3,0.8103007021613262,mrna,0.8266158386377531,-0.016315136476426906,False
SVM,0,mutations+cnv+mrna+rppa,Mutations+CNV+mRNA+RPPA,4,0.8103007021613262,mrna,0.8266158386377531,-0.016315136476426906,False
SVM,1,mutations+cnv,Mutations+CNV,2,0.635854910634013,cnv,0.6341157801992303,0.0017391304347826875,True
SVM,1,mutations+mrna,Mutations+mRNA,2,0.8114798791671163,mrna,0.8108548791671162,0.0006250000000000977,True
