estimator,classifier,pair,pair_label,n_valid_repeats,redundancy_mean,redundancy_sd,redundancy_ci95_low,redundancy_ci95_high,unique_a_mean,unique_a_sd,unique_a_ci95_low,unique_a_ci95_high,unique_b_mean,unique_b_sd,unique_b_ci95_low,unique_b_ci95_high,synergy_mean,synergy_sd,synergy_ci95_low,synergy_ci95_high,mi_a_mean,mi_a_sd,mi_a_ci95_low,mi_a_ci95_high,mi_b_mean,mi_b_sd,mi_b_ci95_low,mi_b_ci95_high,mi_joint_mean,mi_joint_sd,mi_joint_ci95_low,mi_joint_ci95_high
BROJA,RF,cnv+mrna,CNV+mRNA,10,0.31857114992118357,0.03603259833612503,0.29656999019897246,0.33859494571627946,0.013799266675566904,0.007059207624846198,0.010508211080000222,0.018573635295940083,0.6580462422696491,0.04463023920051092,0.6317704032934303,0.684437535131815,0.09396052186332061,0.018735749759481946,0.08342304652417942,0.1051123052581829,0.33237041663546923,0.03875453408132131,0.3093685679773641,0.354545288768074,0.9766173923008505,0.021347036518726856,0.96355753456696,0.9888005251716747,1.0843771807297198,0.01831674511594444,1.0738736542122367,1.095275465773744
BROJA,RF,cnv+rppa,CNV+RPPA,10,0.3101689325324407,0.035779477749202086,0.2886560218685444,0.3308312823500165,0.022201484088833066,0.010131459588589907,0.01736302948719746,0.028917698533327135,0.3800494544931399,0.03265364735110325,0.3616091829153964,0.3995165633036391,0.12692801315025617,0.018817300792420763,0.11564429496753427,0.1378268122070631,0.33237041663546923,0.03875453408132131,0.3096231514731313,0.35466687777640554,0.6902183870986592,0.020738419252628943,0.6776168876702124,0.7023159146390229,0.8393478842646698,0.023573020351347288,0.8266598617529343,0.854417738295834
BROJA,RF,mrna+rppa,mRNA+RPPA,10,0.6690204023190546,0.0215731726551231,0.6564922217875907,0.6814684113353248,0.3075969897605579,0.021865465295351577,0.2951302771532564,0.3203218844787553,0.021197984555369708,0.008389344673445048,0.01603654342107375,0.02590372014358125,0.12125776780234236,0.011797380891175482,0.11381548930649132,0.12782925774646683,0.9766173923008505,0.021347036518726856,0.9637436441388729,0.988746597931934,0.6902183870986592,0.020738419252628943,0.6780252323006083,0.7023047479337209,1.1190731444373245,0.02411148655601856,1.103920343245551,1.1320593307925306
BROJA,RF,mutations+cnv,Mutations+CNV,10,0.18224604533953448,0.019690380969503974,0.1704367711230569,0.1937133764818524,0.1379100040795581,0.020263446441756237,0.12644607590791196,0.15059404368074464,0.150124371133614,0.02093855163189718,0.13763256827058912,0.16172655384002238,0.0907420443237759,0.011246829545981748,0.08437331463085068,0.09763242280946943,0.3201560495331112,0.013536008248407986,0.3125727616317613,0.32838917866471096,0.33237041663546923,0.03875453408132131,0.308749717278375,0.35481630135375986,0.5610224648764823,0.029695591874978604,0.5442567020258571,0.578873609194701
BROJA,RF,mutations+mrna,Mutations+mRNA,10,0.31656991818490376,0.013546534371635631,0.30867167260311124,0.3245222507162396,0.003586131338184831,0.0012904766565651337,0.0028355975410146506,0.004343274776800213,0.6600474739794059,0.02619003980593631,0.6451633324095877,0.6758791803688506,0.05933541262039897,0.009074388529222084,0.05405703702377261,0.0646023387631517,0.3201560495331112,0.013536008248407986,0.3121911907593581,0.32839871243637525,0.9766173923008505,0.021347036518726856,0.9636780282028475,0.9888263426025073,1.0395389361228933,0.024497435484899174,1.0245025828954668,1.0533431823284292
BROJA,RF,mutations+rppa,Mutations+RPPA,10,0.3084560201828001,0.010299000574199394,0.30280923432168,0.314708539370997,0.011700029308459979,0.006657021192853293,0.008240870856839102,0.01600442365449879,0.3817623666897134,0.022560329244343817,0.3683880205303098,0.39506472757625033,0.11899260590149427,0.009396937940948797,0.1132694869423041,0.12426255874903304,0.3201560495331112,0.013536008248407986,0.31217496761872476,0.3281902566769565,0.6902183870986592,0.020738419252628943,0.6781371195199138,0.7024729072306088,0.8209110220824675,0.02226112948487908,0.8081360537045894,0.8341199548713112
BROJA,SVM,cnv+mrna,CNV+mRNA,10,0.5106464904167879,0.020613504453034934,0.4989590601693349,0.5234254519084801,0.014101825662476563,0.005991593795640367,0.010707979276454732,0.017797269784978257,0.7897366041905595,0.031084776117175045,0.7696040800956216,0.8059889657752436,0.0699042425370846,0.008601617422553838,0.06519097121277195,0.07527155074506295,0.5247483161126351,0.016160191032905027,0.5157414709512697,0.5345700975557364,1.300383094605993,0.023066710874615422,1.286471726342963,1.3137473388053802,1.3843891628069085,0.025106558617294616,1.369162957136271,1.398976336138632
BROJA,SVM,cnv+rppa,CNV+RPPA,10,0.45996594156608295,0.021745783713055637,0.4474412588685467,0.47270018826200977,0.06478237453814681,0.007918855908024904,0.0605231945173502,0.06974772441468001,0.4357870612461765,0.033138968848169706,0.41635693104227156,0.4554936506599031,0.1311968282624909,0.01203038233833144,0.12404374568246462,0.13800383852320208,0.5247483161126351,0.016160191032905027,0.5155833011285681,0.5344025730600052,0.8957530028283699,0.020325179247318175,0.8839968251205019,0.907879278855541,1.091732205612897,0.020298365915102323,1.0800811716742447,1.1041644721238115
BROJA,SVM,mrna+rppa,mRNA+RPPA,10,0.8736779183081506,0.02429949486266449,0.8599730576411263,0.88827608877185,0.4267051762054332,0.021742991282234128,0.41412444640286344,0.43944662935048096,0.022075084454019823,0.0082541130961124,0.017427793088427908,0.027012600022760937,0.08269294609661965,0.009617936438650242,0.0763415828770393,0.08713358926456716,1.300383094605993,0.023066710874615422,1.2865224100647719,1.31370941071022,0.8957530028283699,0.020325179247318175,0.8841566552930372,0.9078607563113927,1.4051511250642228,0.021338770155793493,1.392803378945225,1.417624223135223
BROJA,SVM,mutations+cnv,Mutations+CNV,10,0.2816478512707853,0.01127189642519686,0.27483418150446093,0.2880482602840016,0.07321448767975379,0.01584509701652988,0.06442333317869725,0.0830529398347285,0.24310046476435768,0.009058134251589347,0.23803911344181772,0.24864749568855474,0.19461431016786784,0.006568232373120714,0.1908121872958587,0.1984378823059009,0.3548623390018728,0.008576837288203902,0.35012052185590786,0.35994368902527873,0.5247483161126351,0.016160191032905027,0.5158834888873456,0.5346461769714649,0.7925771138827647,0.012978763589511815,0.7842437202549228,0.7995990681386801
BROJA,SVM,mutations+mrna,Mutations+mRNA,10,0.35421288272912277,0.008611713697773861,0.34939363930309314,0.3595212946846647,0.0006494562953981144,0.0006374370436172652,0.00030258970739443613,0.0010450880348136535,0.9461702118827672,0.023984748779506692,0.9320620683870338,0.9600821931242759,0.05033363772244459,0.0069181974311051915,0.046593820023537375,0.05476592620537164,0.3548623390018728,0.008576837288203902,0.35002586637878136,0.3600616923239574,1.300383094605993,0.023066710874615422,1.2865530140690324,1.3137251819276332,1.3513661886297323,0.02195077669164309,1.338584128774541,1.363897168553492
BROJA,SVM,mutations+rppa,Mutations+RPPA,10,0.347739044776052,0.008764390928782465,0.3428982993707902,0.35329754440534566,0.007123294235759916,0.002534692066737414,0.0056029016792611625,0.008563343381216285,0.5480139580438427,0.02117867758454985,0.5356185524036571,0.5606605282523939,0.14179642990999458,0.012386628979739417,0.13398183540694864,0.1483572333383246,0.3548623390018728,0.008576837288203902,0.34997704685634473,0.3600624951020929,0.8957530028283699,0.020325179247318175,0.8838070949492809,0.907789888860816,1.0446727269656495,0.018822966983840252,1.0337486183894293,1.0555031781017363
