classifier,gene,n_folds_present,mean_importance_abs,ci95_low,ci95_high,mean_importance_signed,is_pam50,rank
RF,MYBL2,50,0.005265303647099093,0.005209907566418697,0.005323767170783352,-1.5154241193827093e-18,True,1
RF,FEN1,1,0.005251370408661808,0.005251370408661808,0.005251370408661808,-1.8840230121759715e-18,False,2
RF,PLK1,50,0.00524610705571295,0.0051986620241262615,0.005294563750819064,-1.8113711517893307e-18,False,3
RF,KIFC1,50,0.005219455781258356,0.005166229968251216,0.0052765603908916095,-1.0691681927916954e-18,False,4
RF,CBX7,50,0.005216873530019786,0.005154362820637384,0.005279689406932571,4.670372058934252e-19,False,5
RF,CDKN3,50,0.005199436106226769,0.0051323247811989195,0.005261112584846422,-1.792621433088566e-18,False,6
RF,NOP53,1,0.005173293537202051,0.005173293537202051,0.005173293537202051,-6.055526784271026e-19,False,7
RF,UBE2C,50,0.00517250676731348,0.005116033114910815,0.005230871084590012,-1.2443197174592088e-18,True,8
RF,UBE2T,50,0.005169783055721928,0.0051210209421184575,0.005219378551281751,-1.746284310415425e-18,True,9
RF,KIF20A,50,0.00516681088482252,0.0051073842650979214,0.005232981171241812,-1.8391610827590243e-18,False,10
RF,CYP4Z2P,50,0.005151991744152692,0.005110246167802003,0.005194685431553966,-3.025859553440776e-18,False,11
RF,RRM2,50,0.005149042945557101,0.005088298796702213,0.005209322845350725,-1.8893861207416693e-18,True,12
RF,KIF4A,50,0.005147326701977832,0.005080252291557904,0.005209314397448595,-1.9642962897250167e-18,False,13
RF,PKMYT1,50,0.005142693919156314,0.0050852947395202165,0.005197943311859963,-2.5180044134115934e-18,False,14
RF,CCNB2,50,0.005140644288422311,0.005075292044401126,0.005202132274315917,-1.323818402007884e-18,False,15
RF,TROAP,50,0.005138923572516559,0.005086872510963503,0.005191769091291727,-1.5887513702966482e-18,False,16
RF,SACK1D,50,0.005131850520548289,0.005081201029950295,0.005182437800160284,-2.089155585937075e-18,False,17
RF,TPX2,50,0.0051215422544480735,0.005066166301702383,0.005182120080270436,-1.6723332299956924e-18,False,18
RF,RCOR3,1,0.005117608859929603,0.005117608859929603,0.005117608859929603,-3.550889499103099e-18,False,19
RF,CDC45,50,0.005114281520562758,0.005071254695059452,0.005160024293829259,-1.1284121153868058e-18,False,20
RF,COL10A1,50,0.0051128370598768,0.005022377736812952,0.005199005691782958,-3.8458232206137956e-18,False,21
RF,AHSA2P,2,0.005112242498194796,0.004967810441323635,0.005256674555065956,-1.8724948951004846e-18,False,22
RF,RAD51,50,0.005101862216648645,0.0050477466419267866,0.005153278351728765,-2.122351389264755e-18,False,23
RF,GTSE1,50,0.005101474539804935,0.005057376037300403,0.005145145339461283,-1.3166307284007097e-18,False,24
RF,PLXNB1,2,0.0050958704678224324,0.004971210288145817,0.0052205306474990484,-1.1170358979297723e-18,False,25
RF,SYNDIG1,50,0.005094810566192177,0.005035136164611561,0.00515213366761457,-3.0229955981167532e-18,False,26
RF,AURKA,50,0.005082142342015914,0.005020094075731643,0.0051376823467100124,-2.0614627759874423e-18,False,27
RF,DLGAP5,50,0.005081760808795708,0.005019321602971982,0.005144111275853254,-1.6616624213630641e-18,False,28
