classifier,gene,n_folds_present,mean_importance_abs,ci95_low,ci95_high,mean_importance_signed,is_pam50
RF,A2M,49,0.003205082034058235,0.0031408171474555254,0.0032660282256448277,-1.119933567213523e-19,False
RF,A4GALT,50,0.0032906673796807714,0.0032138663468351506,0.003373626626281799,-1.5130837422654995e-18,False
RF,AADAT,50,0.0038408197578206683,0.0037933017851408293,0.003888253624630992,-3.0966892107950297e-19,False
RF,AARD,50,0.0031547829051686875,0.003104363565337027,0.003203770307171218,-5.57956673931825e-20,False
RF,AASS,49,0.004411994244736268,0.0043654856037220555,0.004453274663667186,8.065506619019733e-20,False
RF,AATBC,1,0.003936626197882169,0.003936626197882169,0.003936626197882169,5.323888088141351e-19,False
RF,ABAT,50,0.004112656295104879,0.004060222545498279,0.004162206042209067,-2.2598632534867456e-18,False
RF,ABCA1,44,0.004188044104340864,0.0041226157507894936,0.004246816588409426,-2.3368699808766973e-18,False
RF,ABCA12,50,0.0044906435046630335,0.004448838309201373,0.004533379621203875,-3.525754186722909e-18,False
RF,ABCA2,27,0.004387784224551442,0.0043237806484232024,0.004448924480728291,-2.619777560182016e-18,False
RF,ABCA3,50,0.004188526875731056,0.004141900809727706,0.004231785730929912,-1.8013122924202768e-18,False
RF,ABCA4,2,0.003051185734621725,0.0030377063039239566,0.0030646651653194936,-3.1621600529669503e-19,False
RF,ABCA5,6,0.004721187380532339,0.00458066685908293,0.004849410291546778,-1.0779551213337554e-19,False
RF,ABCA8,50,0.004259784356198188,0.004216557672931257,0.004302106473336458,4.5048792327492e-20,False
RF,ABCA9,8,0.003939236414776896,0.0038442168811895472,0.004028634095397089,-2.3707244260014213e-19,False
RF,ABCB1,49,0.0041714986356451295,0.004117407740835148,0.004227642358266024,6.333826104275741e-19,False
RF,ABCC11,50,0.0046067650699168775,0.004549511295290471,0.004665853036258188,-2.69199491458423e-18,False
RF,ABCC3,50,0.0036485394047962483,0.003600583181132988,0.0036997199125482264,-2.4617620939258484e-18,False
RF,ABCC4,48,0.0031100903111298075,0.0030514128260619037,0.003170615685065102,-7.418724711567518e-19,False
RF,ABCC5,50,0.00422129732835089,0.0041724081349785785,0.004272258923206716,-3.119945067922462e-18,False
RF,ABCC6,50,0.003504394727486157,0.003450708003606938,0.0035559959908058776,-1.6478465702264206e-18,False
RF,ABCC8,50,0.0038623621325757007,0.003820677127796155,0.003903566809070211,-1.1341931803369909e-18,False
