arm,classifier,class,recall,precision,f1,support
raw,RF,Basal,0.03827751196172249,0.36363636363636365,0.06926406926406926,209.0
raw,RF,Her2,0.0,0.0,0.0,224.0
raw,RF,LumA,0.9942857142857143,0.4013840830449827,0.57189811010682,700.0
raw,RF,LumB,0.0,0.0,0.0,475.0
raw,RF,Normal,0.0,0.0,0.0,148.0
raw,XGB,Basal,0.44976076555023925,0.12668463611859837,0.19768664563617244,209.0
raw,XGB,Her2,0.7723214285714286,0.18969298245614036,0.3045774647887324,224.0
raw,XGB,LumA,0.04285714285714286,0.30303030303030304,0.07509386733416772,700.0
raw,XGB,LumB,0.0,0.0,0.0,475.0
raw,XGB,Normal,0.006756756756756757,0.3333333333333333,0.013245033112582781,148.0
raw,SVM,Basal,1.0,0.11902050113895217,0.21272264631043258,209.0
raw,SVM,Her2,0.0,0.0,0.0,224.0
raw,SVM,LumA,0.0,0.0,0.0,700.0
raw,SVM,LumB,0.0,0.0,0.0,475.0
raw,SVM,Normal,0.0,0.0,0.0,148.0
ranknorm,RF,Basal,0.7464114832535885,0.9512195121951219,0.8364611260053619,209.0
ranknorm,RF,Her2,0.53125,0.74375,0.6197916666666666,224.0
ranknorm,RF,LumA,0.9757142857142858,0.5882859603789836,0.7340139709833423,700.0
ranknorm,RF,LumB,0.4610526315789474,0.8111111111111111,0.5879194630872483,475.0
ranknorm,RF,Normal,0.006756756756756757,1.0,0.013422818791946308,148.0
ranknorm,XGB,Basal,0.7607655502392344,0.9408284023668639,0.8412698412698413,209.0
ranknorm,XGB,Her2,0.6473214285714286,0.6904761904761905,0.6682027649769585,224.0
ranknorm,XGB,LumA,0.9214285714285714,0.6839872746553552,0.7851491174680463,700.0
ranknorm,XGB,LumB,0.6778947368421052,0.7684964200477327,0.7203579418344519,475.0
ranknorm,XGB,Normal,0.060810810810810814,0.6,0.11042944785276074,148.0
ranknorm,SVM,Basal,0.7607655502392344,0.9695121951219512,0.8525469168900804,209.0
ranknorm,SVM,Her2,0.7232142857142857,0.6694214876033058,0.6952789699570815,224.0
ranknorm,SVM,LumA,0.9057142857142857,0.7520759193357058,0.8217757615035645,700.0
ranknorm,SVM,LumB,0.76,0.7746781115879828,0.767268862911796,475.0
ranknorm,SVM,Normal,0.23648648648648649,0.8536585365853658,0.37037037037037035,148.0
