arm,classifier,metabric_balanced_accuracy,ci95_low,ci95_high,n_metabric_patients,n_distinct_predicted_classes
raw,RF,0.20651264524948737,0.20153954203691046,0.21225427204374575,1756,2
raw,XGB,0.2543392187471135,0.23621677527664367,0.2716966478311873,1756,4
raw,SVM,0.2,0.2,0.2,1756,1
ranknorm,RF,0.5442370314607157,0.524036560150376,0.5651532699608357,1756,5
ranknorm,XGB,0.6136442195784302,0.5926777750965251,0.6348180963773068,1756,5
ranknorm,SVM,0.6772361216308584,0.6535165676784098,0.6998188999833737,1756,5
